,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,Area,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,Transaction_Price,Bathrooms,Furnishing,Parking,Year_built
8262,Owner,0,0,1,BHK,600.0,1,1,"Pen,Raigad",18.75,73.08,3300000.0,1,Furnished,1,2010.0
8263,Dealer,1,1,1,BHK,454.3463296,0,0,"Panvel,Lalitpur",18.966114,73.148278,7259999.999999999,1,Furnished,1,
8264,Builder,0,0,1,BHK,895.1048950999998,1,0,"Wathoda,Maharashtra",21.279707,78.842789,3200000.0,1,Furnished,1,2011.0
8265,Dealer,0,0,2,BHK,1250.0,1,1,"PAL,Surat",21.17,72.83,5000000.0,2,Furnished,1,2017.0
8266,Dealer,0,0,2,BHK,1140.021459,1,1,"Sector 23 Ulwe,Mumbai",18.973908,73.02510600000002,8500000.0,2,Furnished,1,2018.0
8267,Dealer,0,0,2,BHK,1500.150015,1,1,"Sai Nagar,Pune",18.164774,74.580229,10000000.0,2,Furnished,1,2017.0
8268,Owner,0,0,2,BHK,1225.02827,1,1,"Kulai,Mangalore",12.958996,74.80244300000003,6500000.0,2,Furnished,1,2016.0
8269,Dealer,0,1,4,BHK,2571.428571,1,1,"Gomti Nagar,Lucknow",26.851,81.0011,18000000.0,4,Furnished,1,2017.0
8270,Dealer,0,0,3,BHK,1600.0,1,1,"Chandivali,Maharashtra",18.58584,73.471734,25000000.0,3,Furnished,1,2019.0
8271,Owner,0,1,3,BHK,1829.826167,1,1,"Wagholi,Pune",18.5823,73.983,10000000.0,3,Furnished,1,2017.0
8272,Dealer,1,1,1,BHK,457.0042902,0,0,"Mulund (West),Maharashtra",19.1759,72.9522,9800000.0,1,Furnished,1,
8273,Dealer,0,0,3,BHK,2300.084336,1,1,"Alipore,Kolkata",22.53028,88.33417,30000000.0,3,Furnished,1,2016.0
8274,Dealer,0,1,3,BHK,2033.249611,1,1,"Sector-60 Gurgaon,Gurgaon",28.401971000000003,77.09943299999998,17000000.0,3,Furnished,1,2016.0
8275,Dealer,0,0,3,BHK,1851.021959,1,1,"Cuffe Parade,Lalitpur",18.9147285,72.8202265,95000000.0,3,Furnished,1,2019.0
8276,Owner,0,0,3,BHK,1665.231123,1,1,"Sargasan,Gandhinagar",23.182972,72.611485,5800000.0,3,Furnished,1,2018.0
8277,Dealer,1,0,2,BHK,1122.140699,0,1,"Kadubeesanahalli,Bangalore",12.938382,77.693968,7800000.0,2,Furnished,1,
8278,Owner,0,0,1,BHK,651.0003176,1,1,"Madhuban Bapudham,Ghaziabad",28.707966,77.48760300000002,2050000.0,1,Furnished,1,2013.0
8279,Dealer,1,1,3,BHK,1489.108911,0,0,"Zirakpur,Chandigarh",30.662283,76.822397,7520000.0,3,Furnished,1,
8280,Dealer,0,1,4,BHK,2189.839572,1,0,"Zirakpur,Chandigarh",30.662283,76.822397,8190000.000000001,4,Furnished,1,2019.0
8281,Owner,0,0,2,BHK,980.0918836,1,1,"Jagatpura,Jaipur",26.832353,75.841749,3200000.0,2,Furnished,1,2014.0
8282,Owner,0,1,2,BHK,1195.219124,1,1,"Vrindavan Yojna,Lucknow",26.766594,80.949809,5100000.0,2,Furnished,1,2016.0
8283,Dealer,1,1,2,BHK,696.0879855000002,0,1,"Pokhran-2,Lalitpur",24.69028,78.41889,10000000.0,2,Furnished,1,
8284,Dealer,0,1,1,BHK,674.8826291,1,1,"Ambernath,Lalitpur",24.6902,78.416,2300000.0,1,Furnished,1,2011.0
8285,Owner,0,0,2,BHK,920.0,1,1,"Electronics City Phase 1,Bangalore",12.840956,77.659441,4600000.0,2,Furnished,1,2012.0
8286,Owner,0,0,2,BHK,693.9854594,1,1,"Mohit Vihar,Dehradun",30.328262,78.009109,2100000.0,2,Furnished,1,2013.0
8287,Dealer,0,1,3,BHK,1605.605021,1,1,"Ghodbunder Road,Mumbai",28.743724,76.81131500000002,11000000.0,3,Furnished,1,2017.0
8288,Dealer,0,0,2,BHK,1139.014684,1,1,"Roadpali,Lalitpur",24.69028,78.41889,8300000.0,2,Furnished,1,2019.0
8289,Dealer,0,1,1,BHK,622.8956228999998,1,1,"Virar West,Lalitpur",19.4559,72.8114,2590000.0,1,Furnished,1,2010.0
8290,Dealer,0,0,3,BHK,1738.0509,1,1,"Kedari Nagar,Pune",18.484943,73.90424200000002,14000000.0,3,Furnished,1,2016.0
8291,Dealer,0,0,3,BHK,1330.203443,1,1,"Sector-137 Noida,Noida",28.506454,77.40956800000002,5100000.0,3,Furnished,1,2018.0
8292,Dealer,0,0,4,BHK,2800.0,1,1,"Vile Parle (East),Maharashtra",19.097244,72.846785,70000000.0,4,Furnished,1,2016.0
8293,Owner,0,0,2,BHK,730.0602299999998,1,1,"Subhash Nagar,Nagpur",21.122092,79.045277,4000000.0,2,Furnished,1,2012.0
8294,Owner,0,0,3,BHK,1615.695326,1,1,"Bhavani Peth,Solapur",17.684148,75.916122,8400000.0,3,Furnished,1,2016.0
8295,Dealer,0,1,1,BHK,641.0256410000002,1,1,"Taloja,Mumbai",19.076057,73.097319,3500000.0,1,Furnished,1,2013.0
8296,Dealer,0,0,2,BHK,1055.194805,1,1,"Thakurpukur,Kolkata",22.461348,88.318428,3250000.0,2,Furnished,1,2011.0
8297,Dealer,1,1,2,BHK,1011.680309,0,1,"Goregaon (East),Lalitpur",19.1615,72.8731,11000000.0,2,Furnished,1,
8298,Owner,0,0,2,BHK,974.025974,1,1,"Rayasandra,Bangalore",12.87004,77.673275,4800000.0,2,Furnished,1,2012.0
8299,Dealer,1,0,1,BHK,760.0,0,1,"Kulshekar,Mangalore",12.87028,74.88056,2470000.0,1,Furnished,1,
8300,Dealer,1,1,2,BHK,572.4098454,0,0,"Goregaon (West),Lalitpur",19.161955,72.839616,13000000.0,2,Furnished,1,
8301,Owner,0,0,3,BHK,1500.150015,1,1,"Bhangel,Noida",28.57,77.32,5000000.0,3,Furnished,1,2016.0
8302,Dealer,1,0,3,BHK,1263.1578949999996,0,1,"Prince Anwar Shah Road Connector,Kolkata",22.54111,88.33778000000002,7200000.0,3,Furnished,1,
8303,Owner,0,1,2,BHK,840.0,1,1,"Sector-143B Noida,Noida",28.495803,77.42684799999998,4200000.0,2,Furnished,1,2010.0
8304,Builder,0,1,2,BHK,1100.0,1,0,"Gajuwaka,Visakhapatnam",17.7,83.2167,3629999.9999999995,2,Furnished,1,2010.0
8305,Dealer,0,0,3,BHK,1263.902932,1,1,"E M Bypass,Kolkata",22.54111,88.33778000000002,10000000.0,3,Furnished,1,2016.0
8306,Dealer,0,0,2,BHK,1282.051282,1,1,"Wagholi,Pune",18.5823,73.983,6800000.0,2,Furnished,1,2016.0
8307,Dealer,0,0,1,BHK,450.0211775,1,1,"Asha Nagar,Lalitpur",24.857578,79.39186,8500000.0,1,Furnished,1,2017.0
8308,Owner,0,0,3,BHK,1300.0,1,1,"Kodigehalli,Bangalore",13.0583,77.5732,6500000.0,3,Furnished,1,2017.0
8309,Owner,1,0,3,BHK,1265.182186,0,1,"Chira Chas,Bokaro",23.66704,86.17795100000002,2500000.0,3,Furnished,1,
8310,Dealer,0,0,2,BHK,883.2059055999998,1,1,"Noida Extension,Noida",28.579004,77.431173,3350000.0,2,Furnished,1,2010.0
8311,Dealer,1,1,3,BHK,1620.2680810000004,0,1,"Laxmi Nagar,Lalitpur",22.281215,70.789479,22000000.0,3,Furnished,1,
8312,Owner,0,0,2,BHK,780.0312012,1,1,"Saratpally,Midnapore",22.351959,87.345138,2000000.0,2,Furnished,1,2013.0
8313,Owner,0,0,2,BHK,807.4283407,1,1,"Dilshad Plaza,Ghaziabad",28.691929,77.329477,2000000.0,2,Furnished,1,2013.0
8314,Owner,0,0,1,BHK,550.0550055,1,1,"Noida Extension,Noida",28.579004,77.431173,2500000.0,1,Furnished,1,2011.0
8315,Owner,0,0,2,BHK,1000.0,1,1,"Palarivattom,Kochi",9.930471,76.271273,5100000.0,2,Furnished,1,2018.0
8316,Dealer,1,0,2,BHK,1010.0,0,1,"Burnpur,Asansol",23.6667,86.9333,2020000.0,2,Furnished,1,
8317,Owner,0,1,2,BHK,1000.0,1,1,"Wardha Road,Nagpur",20.75,78.61667,5500000.0,2,Furnished,1,2016.0
8318,Dealer,0,0,3,BHK,1687.478907,1,1,"Sector-35E Kharghar,Maharashtra",18.96,72.82,15000000.0,3,Furnished,1,2016.0
8319,Dealer,0,1,3,BHK,1645.091694,1,1,"Wagholi,Pune",18.5823,73.983,6100000.0,3,Furnished,1,2017.0
8320,Dealer,0,0,3,BHK,1451.216789,1,1,"Guduvancheri,Chennai",12.842686,80.063733,6500000.0,3,Furnished,1,2017.0
8321,Dealer,1,1,2,BHK,699.6812562999999,0,1,"Mulund (West),Lalitpur",19.1759,72.9522,18000000.0,2,Furnished,1,
8322,Owner,0,0,3,BHK,2071.500167,1,1,"AB Bypass Road,Indore",58.69175268,-117.0016994,6200000.0,3,Furnished,1,2019.0
8323,Dealer,0,0,3,BHK,1869.158879,1,0,"Sector-92 Gurgaon,Gurgaon",28.409485,76.90923599999998,11000000.0,3,Furnished,1,2018.0
8324,Dealer,1,1,1,BHK,463.0021142,0,0,"Whitefield,Bangalore",12.9958935,77.761394,2190000.0,1,Furnished,1,
8325,Dealer,0,0,4,BHK,2746.365105,1,1,"Marine Drive,Kochi",9.9800255,76.27530300000002,17000000.0,4,Furnished,1,2016.0
8326,Builder,1,0,2,BHK,932.2625698,0,0,"Tamando,Bhubaneswar",20.236361,85.743845,2670000.0,2,Furnished,1,
8327,Dealer,0,1,5,BHK,3558.718861,1,1,"Nipania,Indore",22.760061,75.928572,11000000.0,5,Furnished,1,2018.0
8328,Dealer,0,0,2,BHK,1068.75,1,1,"Palayamkottai,Tirunelveli",8.7236,77.7359,3420000.0000000005,2,Furnished,1,2013.0
8329,Dealer,1,1,3,BHK,642.3394151000001,0,0,"Sector-70 Gurgaon,Gurgaon",28.391441,77.022829,2570000.0,3,Furnished,1,
8330,Dealer,1,1,3,BHK,2995.370791,0,1,"6th Phase JP Nagar,Bangalore",35.0,136.0,33000000.0,3,Furnished,1,
8331,Owner,0,0,3,BHK,1450.589302,1,1,"Gokulpura,Jaipur",26.9358,75.7174,3200000.0,3,Furnished,1,2010.0
8332,Dealer,0,1,4,BHK,3193.102898,1,1,"JVLR,Maharashtra",18.96,72.82,80000000.0,4,Furnished,1,2017.0
8333,Owner,0,0,2,BHK,1200.0,1,1,"Sector p LDA Colony,Lucknow",21.0,77.0,6000000.0,2,Furnished,1,2018.0
8334,Owner,0,0,3,BHK,1699.497876,1,1,"Hill View (South), Asansol,Asansol",18.952609,72.80265,4400000.0,3,Furnished,1,2011.0
8335,Dealer,0,0,3,BHK,1825.201825,1,1,"Zirakpur,Chandigarh",30.662283,76.822397,5200000.0,3,Furnished,1,2017.0
8336,Dealer,0,0,2,BHK,1050.019091,1,1,"Dahisar (East),Maharashtra",19.256471,72.868815,11000000.0,2,Furnished,1,2018.0
8337,Dealer,0,0,1,BHK,675.0675068,1,1,"Sector-9 Ulwe,Maharashtra",18.973908,73.02510600000002,6000000.0,1,Furnished,1,2018.0
8338,Owner,0,0,2,BHK,820.2099738,1,1,"Waghodia Road,Vadodara",22.294094,73.23368599999998,2500000.0,2,Furnished,1,2010.0
8339,Dealer,0,0,3,BHK,1841.213728,1,1,"Hiranandani Estate,Lalitpur",19.255098,72.9815265,25000000.0,3,Furnished,1,2018.0
8340,Dealer,1,1,1,BHK,685.0357741,0,1,"Taloja,Lalitpur",24.69028,78.41889,4500000.0,1,Furnished,1,
8341,Dealer,0,1,3,BHK,1995.759012,1,1,"Thanisandra,Bangalore",13.055985,77.622157,16000000.0,3,Furnished,1,2017.0
8342,Dealer,0,0,3,BHK,1388.4829,1,1,"Bhandup (West),Lalitpur",19.147866,72.932609,19000000.0,3,Furnished,1,2017.0
8343,Dealer,0,1,3,BHK,1711.9100019999996,1,1,"Sarjapur Road,Bangalore",12.86,77.786,14000000.0,3,Furnished,1,2019.0
8344,Dealer,0,0,2,BHK,875.0607681,1,1,"Sector-8A Airoli,Lalitpur",23.687594,86.156601,9000000.0,2,Furnished,1,2016.0
8345,Dealer,0,0,3,BHK,1369.0975130000004,1,1,"Action Area II,Kolkata",22.54111,88.33778000000002,9800000.0,3,Furnished,1,2018.0
8346,Dealer,1,1,2,BHK,603.5578145,0,0,"Thane West,Maharashtra",19.18,72.96333,7600000.0,2,Furnished,1,
8347,Owner,0,1,3,BHK,1333.333333,1,1,"Bhayli,Vadodara",22.288976,73.128222,100000.0,3,Furnished,1,2010.0
8348,Dealer,1,0,2,BHK,1000.0,0,1,"Nagarbhavi,Bangalore",12.957468,77.516563,4500000.0,2,Furnished,1,
8349,Dealer,0,0,3,BHK,1375.24558,1,1,"Mohali,Chandigarh",30.696627000000003,76.693764,4200000.0,3,Furnished,1,2010.0
8350,Dealer,0,0,1,BHK,635.1292159,1,1,"Electronic City,Bangalore",12.8458,77.6727,2900000.0,1,Furnished,1,2012.0
8351,Owner,0,0,3,BHK,1375.24558,1,1,"Sector-18 Pratap Nagar,Jaipur",26.807408,75.83865899999998,4200000.0,3,Furnished,1,2013.0
8352,Dealer,0,0,2,BHK,933.6465062,1,1,"Bansdroni,Kolkata",22.470809,88.36318100000003,3180000.0,2,Furnished,1,2011.0
8353,Dealer,0,0,2,BHK,900.0452284,1,1,"Sector-124 Mohali,Mohali",30.766911,76.67299,1989999.9999999998,2,Furnished,1,2014.0
8354,Dealer,0,1,2,BHK,1200.252685,1,1,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,3800000.0,2,Furnished,1,2014.0
8355,Dealer,0,0,3,BHK,2310.030395,1,1,"Parel,Mumbai",42.049481,-87.681841,95000000.0,3,Furnished,1,2018.0
8356,Dealer,0,1,2,BHK,1300.21214,1,1,"Malad (East),Maharashtra",19.1758,72.8643,19000000.0,2,Furnished,1,2017.0
8357,Dealer,0,0,3,BHK,1245.210728,1,1,"Madurdaha,Kolkata",22.54111,88.33778000000002,5200000.0,3,Furnished,1,2018.0
8358,Dealer,0,0,1,BHK,610.0536847,1,1,"Viman Nagar,Pune",18.56,73.91,5000000.0,1,Furnished,1,2018.0
8359,Dealer,0,0,3,BHK,2255.588169,1,1,"Sector 82 Faridabad,Faridabad",28.394375,77.35722700000002,9990000.0,3,Furnished,1,2018.0
8360,Owner,0,0,1,BHK,540.1755571,1,1,"NH-8,Neemrana",12.973237,77.64685899999998,800000.0,1,Furnished,1,2013.0
8361,Dealer,0,0,2,BHK,960.0,1,1,"Panch Pakhadi,Maharashtra",20.928222,79.842268,12000000.0,2,Furnished,1,2019.0
8362,Dealer,0,1,3,BHK,1752.966559,1,1,"sector-121 Noida,Noida",28.602325,77.40199399999999,13000000.0,3,Furnished,1,2019.0
8363,Dealer,1,1,2,BHK,491.5883767,0,0,"Anjurdive,Lalitpur",24.69028,78.41889,4500000.0,2,Furnished,1,
8364,Owner,0,0,2,BHK,1199.904008,1,1,"Harohalli,Bangalore",12.6808,77.4741,5000000.0,2,Furnished,1,2017.0
8365,Dealer,0,1,3,BHK,1444.872783,1,1,"Sarjapur Road,Bangalore",12.86,77.786,9370000.0,3,Furnished,1,2017.0
8366,Dealer,0,0,2,BHK,1111.111111,1,1,"Thara,Bhiwadi",28.162032,76.811066,1590000.0,2,Furnished,1,2012.0
8367,Dealer,0,0,2,BHK,800.0,1,1,"Hiranandani Estate,Maharashtra",19.255098,72.9815265,9500000.0,2,Furnished,1,2018.0
8368,Dealer,0,0,1,BHK,665.0544135,1,1,"Sector 35I Kharghar,Maharashtra",18.96,72.82,5500000.0,1,Furnished,1,2017.0
8369,Dealer,0,0,3,BHK,1699.854298,1,1,"Vaibhav Khand,Ghaziabad",28.9196,76.8972,7000000.0,3,Furnished,1,2017.0
8370,Dealer,0,0,3,BHK,1602.136182,1,1,"Battarahalli,Bangalore",13.024599,77.70444300000003,12000000.0,3,Furnished,1,2017.0
8371,Builder,1,1,2,BHK,622.1279603999999,0,0,"Ambernath East,Mumbai",18.96,72.82,3520000.0000000005,2,Furnished,1,
8372,Dealer,0,0,1,BHK,600.0857265,1,1,"Kalapatti,Coimbatore",11.04556,77.03404,2800000.0,1,Furnished,1,2013.0
8373,Owner,0,0,2,BHK,930.3246239,1,1,"Kota Colony,Raipur",21.562562,81.846712,2350000.0,2,Furnished,1,2013.0
8374,Dealer,0,0,3,BHK,2255.3782100000008,1,1,"New Town,Kolkata",22.5922,88.484911,13000000.0,3,Furnished,1,2018.0
8375,Dealer,0,0,3,BHK,2100.105005,1,1,"MP Nagar,Bhopal",23.232556,77.429783,12000000.0,3,Furnished,1,2018.0
8376,Dealer,1,1,2,BHK,1149.954002,0,1,"Thakur Village,Lalitpur",12.91668,77.59196,15000000.0,2,Furnished,1,
8377,Owner,0,0,2,BHK,850.0188893,1,1,"Kaushambi,Ghaziabad",28.638934000000006,77.32645699999998,4500000.0,2,Furnished,1,2011.0
8378,Dealer,0,0,3,BHK,1729.305972,1,1,"7th Phase JP Nagar,Bangalore",35.0,136.0,15000000.0,3,Furnished,1,2018.0
8379,Dealer,0,0,1,BHK,487.5986471,1,1,"Behala Unique Park,Kolkata",22.498882,88.31755600000002,1730000.0,1,Furnished,1,2012.0
8380,Dealer,0,1,1,BHK,559.9731213,1,1,"Malad (West),Lalitpur",19.1849,72.8347,10000000.0,1,Furnished,1,2017.0
8381,Dealer,0,0,2,BHK,216494.8454,1,1,"Wada,Lalitpur",24.69028,78.41889,42000000.0,2,Furnished,1,2019.0
8382,Dealer,0,1,3,BHK,1690.189929,1,1,"Sector-79 Noida,Noida",28.558047,77.392752,9700000.0,3,Furnished,1,2016.0
8383,Dealer,0,0,3,BHK,1448.717949,1,1,"Shakti Khand 4,Ghaziabad",28.9196,76.8972,6780000.0,3,Furnished,1,2019.0
8384,Owner,0,0,2,BHK,1060.267857,1,1,"NRI Layout,Bangalore",12.96991,77.59796,3800000.0,2,Furnished,1,2010.0
8385,Dealer,0,0,4,BHK,3250.270856,1,1,"Elora Park,Vadodara",21.716412,73.004076,15000000.0,4,Furnished,1,2018.0
8386,Owner,0,0,2,BHK,1100.052383,1,1,"5th Phase JP Nagar,Bangalore",12.905368,77.580403,6300000.0,2,Furnished,1,2019.0
8387,Dealer,1,1,2,BHK,560.758145,0,0,"Chandivali,Lalitpur",24.69028,78.41889,10000000.0,2,Furnished,1,
8388,Owner,0,0,3,BHK,1599.803101,1,1,"Patia,Bhubaneswar",20.353795,85.82101999999998,6500000.0,3,Furnished,1,2016.0
8389,Owner,1,0,2,BHK,687.732342,0,1,"Inda,Kharagpur",22.352866,87.337165,1850000.0,2,Furnished,1,
8390,Dealer,0,0,1,BHK,600.0,1,1,"Kasar vadavali,Mumbai",18.205923,72.99918199999998,6600000.0,1,Furnished,1,2017.0
8391,Dealer,0,0,3,BHK,1550.8684859999996,1,1,"Jagatpura,Jaipur",26.832353,75.841749,2500000.0,3,Furnished,1,2014.0
8392,Owner,0,0,3,BHK,1315.0769710000004,1,1,"Malleshwaram,Bangalore",13.0097,77.5648,17000000.0,3,Furnished,1,2019.0
8393,Owner,0,0,2,BHK,1250.0,1,1,"Sector-62 Noida,Noida",28.6221,77.3674,6500000.0,2,Furnished,1,2018.0
8394,Owner,1,0,3,BHK,1414.913958,0,1,"Sector-110 Noida,Noida",28.536585,77.383669,7400000.0,3,Furnished,1,
8395,Owner,0,0,2,BHK,899.9742864,1,1,"Yahiyaganj,Lucknow",26.856919,80.909712,3500000.0,2,Furnished,1,2013.0
8396,Dealer,0,0,3,BHK,988.1965413,1,1,"Chotto Chandpur,Kolkata",22.680020000000006,88.44383,3600000.0,3,Furnished,1,2013.0
8397,Dealer,0,0,4,BHK,2829.044861,1,1,"Dollars Colony,Bangalore",15.346804,75.115177,21000000.0,4,Furnished,1,2017.0
8398,Dealer,0,0,2,BHK,1033.362858,1,1,"Dona Paula,Goa",15.45056,73.80333,7000000.0,2,Furnished,1,2016.0
8399,Owner,0,0,2,BHK,900.024325,1,1,"Reddiarpalayam,Pondicherry",11.93,79.83,3700000.0,2,Furnished,1,2014.0
8400,Dealer,0,0,2,BHK,850.0303582,1,1,"Baguihati,Kolkata",22.617564,88.427982,2800000.0,2,Furnished,1,2013.0
8401,Dealer,0,1,1,BHK,747.3108133999998,1,0,"Medavakkam,Chennai",12.91716,80.19287,3960000.0,1,Furnished,1,2013.0
8402,Owner,0,0,2,BHK,1100.046318,1,1,"Santosh Nagar,Chennai",18.479533,73.933573,9500000.0,2,Furnished,1,2017.0
8403,Owner,0,0,3,BHK,1250.0,1,1,"Kothwan,Patna",25.61,85.14139,5000000.0,3,Furnished,1,2017.0
8404,Dealer,1,1,1,BHK,431.5585543,0,0,"Kolshet Road,Mumbai",19.249861,72.96386600000002,6459999.999999999,1,Furnished,1,
8405,Dealer,0,0,3,BHK,1800.180018,1,1,"Sector-35G Kharghar,Maharashtra",18.96,72.82,16000000.0,3,Furnished,1,2017.0
8406,Dealer,0,1,2,BHK,1150.040118,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,4300000.0,2,Furnished,1,2010.0
8407,Dealer,0,0,2,BHK,918.079096,1,1,"Dombivli (East),Lalitpur",19.2167,73.0833,5200000.0,2,Furnished,1,2019.0
8408,Owner,0,0,1,BHK,670.2412869,1,1,"Halol,Godhra",22.5,73.47,1250000.0,1,Furnished,1,2010.0
8409,Dealer,0,1,2,BHK,921.069464,1,1,"Bhayandarpada,Lalitpur",24.69028,78.41889,7200000.0,2,Furnished,1,2019.0
8410,Owner,0,0,2,BHK,1075.268817,1,1,"Royal Nagar,Tirupati",13.625475,79.41889499999998,3700000.0,2,Furnished,1,2012.0
8411,Dealer,0,0,2,BHK,1074.883554,1,1,"Crossing Republik,Ghaziabad",28.629811,77.434197,3000000.0,2,Furnished,1,2012.0
8412,Dealer,0,1,3,BHK,1492.132393,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,5500000.0,3,Furnished,1,2017.0
8413,Dealer,0,1,2,BHK,1301.960784,1,1,"Mihan,Lalitpur",24.69028,78.41889,1660000.0000000002,2,Furnished,1,2010.0
8414,Dealer,1,1,2,BHK,985.1736247,0,1,"Hinjewadi,Pune",18.5853,73.7413,5050000.0,2,Furnished,1,
8415,Dealer,1,0,3,BHK,1482.213439,0,1,"Sarjapur,Bangalore",12.86,77.786,12000000.0,3,Furnished,1,
8416,Dealer,0,1,3,BHK,1575.203252,1,1,"Gomti Nagar Extension,Lucknow",21.0,77.0,6200000.0,3,Furnished,1,2017.0
8417,Owner,0,0,3,BHK,1450.139054,1,1,"Satgaon,Guwahati",26.157856,91.827348,7300000.0,3,Furnished,1,2018.0
8418,Dealer,0,0,2,BHK,1113.888889,1,1,"Tambaram,Chennai",12.93,80.11,4010000.0,2,Furnished,1,2012.0
8419,Dealer,0,1,2,BHK,963.2683658,1,1,"Bhopura,Ghaziabad",28.698133,77.335746,2570000.0,2,Furnished,1,2013.0
8420,Owner,0,0,3,BHK,1050.199538,1,1,"Majra,Dehradun",30.2903,78.0016,5000000.0,3,Furnished,1,2019.0
8421,Dealer,0,0,2,BHK,949.7206704,1,1,"Chandivali,Lalitpur",24.69028,78.41889,17000000.0,2,Furnished,1,2017.0
8422,Dealer,1,1,3,BHK,1160.811695,0,1,"Moshi,Pune",18.669919,73.853723,5320000.0,3,Furnished,1,
8423,Owner,0,0,3,BHK,2021.276596,1,1,"Muttambalam,Kottayam",9.572427,76.550671,9500000.0,3,Furnished,1,2016.0
8424,Dealer,1,1,2,BHK,919.3993258,0,1,"Mulund (West),Mumbai",19.1759,72.9522,18000000.0,2,Furnished,1,
8425,Owner,0,0,2,BHK,1187.119751,1,1,"Porur,Chennai",13.03478,80.15586,8000000.0,2,Furnished,1,2019.0
8426,Owner,0,0,2,BHK,1280.199944,1,1,"Konanakunte,Bangalore",12.8855,77.5638,4610000.0,2,Furnished,1,2012.0
8427,Dealer,1,1,1,BHK,781.4285714,0,1,"Mira Road,Mumbai",19.283359,72.864964,5470000.0,1,Furnished,1,
8428,Owner,0,0,3,BHK,1500.0,1,1,"Vile Parle (East),Lalitpur",19.097244,72.846785,39000000.0,3,Furnished,1,2018.0
8429,Owner,0,0,2,BHK,1065.1090880000004,1,1,"Near Hadapsar, Pune Solapur Highway, Manjari,Pune",18.518594,73.93554300000002,6200000.0,2,Furnished,1,2019.0
8430,Owner,0,0,2,BHK,1300.268097,1,1,"Tirichanoor,Tirupati",13.65,79.42,4850000.0,2,Furnished,1,2014.0
8431,Dealer,1,1,1,BHK,651.4657980000002,0,1,"Kanjur Marg (East),Lalitpur",24.69028,78.41889,10000000.0,1,Furnished,1,
8432,Dealer,0,0,2,BHK,760.9756097999998,1,1,"Madhyamgram,Kolkata",22.7,88.45,1560000.0,2,Furnished,1,2013.0
8433,Dealer,0,0,2,BHK,1350.048216,1,1,"Sector 12 Kharghar,Maharashtra",19.042483,73.06637099999998,14000000.0,2,Furnished,1,2019.0
8434,Dealer,0,1,2,BHK,1224.489796,1,1,"Mayakhedi,Indore",22.72056,75.84722,3000000.0,2,Furnished,1,2013.0
8435,Owner,0,0,1,BHK,296.969697,1,1,"Render Road,Surat",21.0,77.0,490000.00000000006,1,Furnished,1,2012.0
8436,Owner,0,0,2,BHK,1200.0,1,1,"Abhay Khand 3,Ghaziabad",28.66667,77.41667,5400000.0,2,Furnished,1,2017.0
8437,Dealer,0,0,2,BHK,1109.148017,1,1,"Sector-76 Noida,Noida",28.567633,77.383124,5650000.0,2,Furnished,1,2018.0
8438,Dealer,0,1,2,BHK,771.0280374,1,1,"Ghodbunder Road,Mumbai",28.743724,76.81131500000002,9900000.0,2,Furnished,1,2017.0
8439,Dealer,1,1,2,BHK,988.8751545,0,1,"Chembur,Lalitpur",19.05871,72.89969,16000000.0,2,Furnished,1,
8440,Owner,0,0,2,BHK,850.3401361,1,1,"Gokul Nagar,Jamnagar",22.447292,70.044462,2000000.0,2,Furnished,1,2013.0
8441,Dealer,1,0,2,BHK,1065.384615,0,1,"Shiv Mandir,Siliguri",25.232239,71.392013,2770000.0,2,Furnished,1,
8442,Dealer,0,0,2,BHK,1106.006466,1,1,"Maradu,Kochi",9.935889,76.319041,6500000.0,2,Furnished,1,2018.0
8443,Dealer,0,0,3,BHK,1427.165354,1,1,"Rustam Bagh Layout,Bangalore",12.96991,77.59796,8700000.0,3,Furnished,1,2017.0
8444,Dealer,0,1,3,BHK,1850.383294,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,7000000.0,3,Furnished,1,2016.0
8445,Builder,0,1,3,BHK,2017.56526,1,0,"Thanisandra,Bangalore",13.055985,77.622157,8270000.0,3,Furnished,1,2019.0
8446,Owner,0,0,2,BHK,544.032642,1,1,"Mota Mava,Rajkot",22.268444,70.75403299999998,3200000.0,2,Furnished,1,2010.0
8447,Dealer,1,1,1,BHK,675.0675068,0,1,"Sector-23 Taloja,Lalitpur",28.509982,77.05185,3000000.0,1,Furnished,1,
8448,Owner,0,0,2,BHK,1092.194025,1,1,"Jagatpura,Jaipur",26.832353,75.841749,3400000.0,2,Furnished,1,2012.0
8449,Owner,0,0,2,BHK,979.934671,1,1,"Shankar Nagar,Raipur",21.250659,81.659113,4200000.0,2,Furnished,1,2012.0
8450,Dealer,0,0,4,BHK,2625.714286,1,1,"Sector-110 Mohali,Mohali",30.667746,76.669156,9190000.0,4,Furnished,1,2018.0
8451,Dealer,0,0,2,BHK,925.1471825,1,1,"Vadgaon Sheri,Pune",18.549645,73.924971,5500000.0,2,Furnished,1,2016.0
8452,Owner,0,0,2,BHK,750.0,1,1,"Tapukara,Bhiwadi",28.2102,76.8606,1500000.0,2,Furnished,1,2010.0
